,ID,PeriodY,PeriodN,Age,Birthday,CivilStatus,Gender,School,IngressY,IngressM,Average,Efficiency,Semester,Enrolled,Approved,Withdrawals,Failed,ReasonOfFailed
0,1,2015,1,63,18/06/1951,2.000,0,0,2007,0.000,10.927,0.491,5,2,2.000,0,1,"Problemas de salud, enfermedad"
2,3,2014,1,35,14/03/1979,0.000,0,0,2006,1.000,11.404,0.651,5,1,1.000,1,0,Falta de tiempo para asistir a clases
3,4,2014,1,32,04/08/1982,0.000,0,0,2010,1.000,6.979,0.468,3,2,2.000,2,0,"Mala distribución del tiempo, Lejanía entre la residencia y la universidad"
32,33,2014,1,24,18/02/1991,0.000,0,0,2010,1.000,11.916,0.594,4,3,4.000,0,0,
34,35,2015,1,24,22/06/1990,0.000,0,1,2010,1.000,11.936,0.798,7,6,5.000,1,1,"Falta de tiempo para estudiar, Elevada carga horaria, Mala distribución del tiempo"
49,50,2014,2,22,24/08/1992,0.000,0,1,2010,1.000,13.500,0.950,8,4,3.000,1,1,Problemas de salud
73,74,2014,1,21,12/07/1993,0.000,0,0,2011,1.000,14.130,1.000,8,2,2.000,10,0,
100,101,2014,2,23,21/11/1991,0.000,0,1,2008,3.000,12.706,0.790,6,6,5.000,1,1,"Falta de tiempo para estudiar, Mala distribución del tiempo, Lejanía entre la residencia y la universidad"
129,130,2014,2,22,23/03/1993,0.000,0,1,2011,1.000,13.065,1.000,5,5,5.000,5,0,
136,137,2015,1,23,12/06/1991,0.000,0,0,2013,1.000,14.000,1.000,4,4,5.000,0,0,
138,139,2014,2,21,11/04/1994,0.000,0,1,2012,3.000,11.857,0.789,5,4,4.000,1,0,
179,180,2014,1,19,03/03/1996,0.000,0,0,2014,1.000,15.027,0.869,3,5,5.000,0,1,Problemas de salud
180,181,2014,1,20,03/03/1995,0.000,0,1,2012,3.000,15.000,1.000,4,5,5.000,1,0,
